id,point_id,Elevation,dist_m,dist_km,Sub_1_Thic,Depth,RMSh
0,0,-2722,0,0,,,1.095592737
1,1,-2722,281.7506077,0.281750608,,,1.095592737
2,2,-2722,842.7125141,0.842712514,,,1.095592737
3,3,-2721,1288.288352,1.288288352,,,1.095592737
4,4,-2722,1733.865663,1.733865663,,,1.095592737
5,5,-2722,2179.444447,2.179444447,,,1.095592737
6,6,-2720,2740.414254,2.740414254,,,1.095592737
7,7,-2720,3185.996364,3.185996364,,,1.095592737
8,8,-2720,3631.579946,3.631579946,,,1.095592737
9,9,-2721,4077.164999,4.077164999,,,1.095592737
10,10,-2721,4638.142696,4.638142696,,,1.095592737
11,11,-2721,5083.73107,5.08373107,,,1.095592737
12,12,-2721,5529.320915,5.529320915,,,1.110299349
13,13,-2721,5974.912229,5.974912229,,,1.110299349
14,14,-2721,6535.897803,6.535897803,,,1.110299349
15,15,-2721,6981.492434,6.981492434,,,1.110299349
16,16,-2721,7427.088532,7.427088532,63.355,-2784.355,1.110299349
17,17,-2721,7872.686098,7.872686098,63.355,-2784.355,1.110299349
18,18,-2721,8433.67954,8.43367954,63.504,-2784.504,1.110299349
19,19,-2721,8879.280418,8.879280418,63.504,-2784.504,1.110299349
20,20,-2721,9324.882762,9.324882762,63.504,-2784.504,1.110299349
21,21,-2720,9770.486571,9.770486571,63.355,-2783.355,1.110299349
22,22,-2720,10331.48787,10.33148787,63.504,-2783.504,1.110299349
23,23,-2721,10777.09499,10.77709499,63.504,-2784.504,1.110299349
24,24,-2721,11222.70357,11.22270357,63.504,-2784.504,1.110299349
25,25,-2721,11668.31361,11.66831361,63.94,-2784.94,0.805495799
26,26,-2720,12229.32276,12.22932276,66.743,-2786.743,0.805495799
27,27,-2720,12674.9361,12.6749361,66.743,-2786.743,0.805495799
28,28,-2720,13120.55091,13.12055091,66.743,-2786.743,0.805495799
29,29,-2720,13566.16718,13.56616718,66.743,-2786.743,0.805495799
30,30,-2720,14127.18416,14.12718416,65.623,-2785.623,0.509440243
31,31,-2720,14572.80373,14.57280373,65.113,-2785.113,0.509440243
32,32,-2720,15018.42476,15.01842476,65.113,-2785.113,0.509440243
33,33,-2720,15464.04724,15.46404724,65.113,-2785.113,0.509440243
34,34,-2720,16025.07205,16.02507205,67.838,-2787.838,0.509440243
35,35,-2720,16470.69783,16.47069783,,,0.509440243
36,36,-2720,16916.32507,16.91632507,,,0.509440243
37,37,-2720,17477.35586,17.47735586,,,0.509440243
38,38,-2720,17922.98638,17.92298638,,,1.897622228
39,39,-2720,18368.61837,18.36861837,,,1.897622228
40,40,-2720,18814.25181,18.81425181,,,1.897622228
41,41,-2719,19375.2904,19.3752904,,,1.897622228
42,42,-2719,19820.92713,19.82092713,,,1.897622228
43,43,-2719,20266.56531,20.26656531,,,1.897622228
44,44,-2719,20712.20494,20.71220494,,,1.897622228
45,45,-2719,21273.25133,21.27325133,,,1.897622228
46,46,-2719,21718.89425,21.71889425,,,1.897622228
47,47,-2719,22164.53861,22.16453861,,,1.897622228
48,48,-2720,22610.18443,22.61018443,,,1.897622228
49,49,-2720,23171.2386,23.1712386,,,1.897622228
50,50,-2720,23616.8877,23.6168877,,,1.897622228
