id,MOLA,RMSh,Sub_1_thic,Depth,dist_m,dist_km,xcoord,ycoord
0,-2704,1.712234855,,,0,0,157.5697976,10.06662291
1,-2539,1.712234855,,,462.804225,0.462804225,157.561985,10.05881025
2,-2545,1.712234855,,,851.6396638,0.851639664,157.5541723,10.05881025
3,-2531,1.712234855,,,1479.767256,1.479767256,157.5463596,10.05099758
4,-2524,1.712234855,,,1868.610443,1.868610443,157.5385469,10.05099758
5,-2513,1.712234855,,,2496.750545,2.496750545,157.5307343,10.04318491
6,-2509,1.712234855,,,3124.898369,3.124898369,157.5229216,10.03537224
7,-2502,1.712234855,,,3513.754076,3.513754076,157.5151089,10.03537224
8,-2503,1.712234855,,,4141.914393,4.141914393,157.5072963,10.02755957
9,-2504,1.712234855,,,4770.082419,4.770082419,157.4994836,10.0197469
10,-2501,1.712234855,,,5158.950627,5.158950627,157.4916709,10.0197469
11,-2497,1.655652404,,,5787.131127,5.787131127,157.4838583,10.01193424
12,-2491,1.655652404,,,6176.007053,6.176007053,157.4760456,10.01193424
13,-2488,1.655652404,,,6804.200015,6.804200015,157.4682329,10.00412157
14,-2491,1.655652404,,,7432.400668,7.432400668,157.4604203,9.9963089
15,-2494,1.655652404,,,7821.289064,7.821289064,157.4526076,9.9963089
16,-2497,1.655652404,,,8449.50216,8.44950216,157.4447949,9.988496232
17,-2496,1.655652404,,,8838.398255,8.838398255,157.4369823,9.988496232
18,-2497,1.655652404,,,9466.623782,9.466623782,157.4291696,9.980683564
19,-2494,1.655652404,,,10094.85698,10.09485698,157.4213569,9.972870896
20,-2494,1.655652404,,,10483.76552,10.48376552,157.4135443,9.972870896
21,-2495,1.655652404,,,11112.01113,11.11201113,157.4057316,9.965058227
22,-2497,1.655652404,,,11740.2644,11.7402644,157.3979189,9.957245559
23,-2498,1.655652404,,,12129.18536,12.12918536,157.3901063,9.957245559
24,-2499,1.462348819,,,12757.45102,12.75745102,157.3822936,9.949432891
25,-2499,1.462348819,,,13146.37965,13.14637965,157.3744809,9.949432891
26,-2499,1.462348819,,,13774.6577,13.7746577,157.3666682,9.941620223
27,-2499,1.462348819,,,14402.94339,14.40294339,157.3588556,9.933807555
28,-2497,1.462348819,,,14791.8844,14.7918844,157.3510429,9.933807555
29,-2500,1.462348819,,,15420.18245,15.42018245,157.3432302,9.925994887
30,-2502,1.462348819,,,15809.13112,15.80913112,157.3354176,9.925994887
31,-2504,1.343928695,,,16437.44152,16.43744152,157.3276049,9.918182219
32,-2503,1.343928695,,,17065.75955,17.06575955,157.3197922,9.91036955
33,-2504,1.343928695,,,17454.72057,17.45472057,157.3119796,9.91036955
34,-2505,1.343928695,,,18083.05093,18.08305093,157.3041669,9.902556882
35,-2505,1.343928695,,,18711.3889,18.7113889,157.2963542,9.894744214
36,-2507,1.343928695,,,19100.36227,19.10036227,157.2885416,9.894744214
37,-2513,1.302629232,,,19728.71255,19.72871255,157.2807289,9.886931546
38,-2514,1.302629232,,,20117.69353,20.11769353,157.2729162,9.886931546
39,-2517,1.302629232,,,20721.97446,20.72197446,157.2651036,9.879118878
40,-2517,1.302629232,,,20721.97446,20.72197446,157.2651036,9.879118878
41,-2517,1.302629232,,,21171.37729,21.17137729,157.2572909,9.879118878
42,-2518,1.302629232,,,21620.78186,21.62078186,157.2494782,9.879118878
43,-2522,1.302629232,,,22149.52909,22.14952909,157.2416656,9.87130621
44,-2523,1.302629232,,,22598.93747,22.59893747,157.2338529,9.87130621
45,-2523,1.302629232,,,23048.3476,23.0483476,157.2260402,9.87130621
46,-2524,1.302629232,,,23497.75948,23.49775948,157.2182276,9.87130621
47,-2526,1.302629232,,,23947.17311,23.94717311,157.2104149,9.87130621
48,-2526,1.302629232,,,24396.58848,24.39658848,157.2026022,9.87130621
49,-2525,1.302629232,,,24925.34841,24.92534841,157.1947895,9.863493541
50,-2525,1.302629232,,,25374.76759,25.37476759,157.1869769,9.863493541
51,-2524,1.324878335,,,25824.18851,25.82418851,157.1791642,9.863493541
52,-2523,1.324878335,,,26273.61118,26.27361118,157.1713515,9.863493541
53,-2523,1.324878335,,,26723.0356,26.7230356,157.1635389,9.863493541
54,-2523,1.324878335,,,27172.46176,27.17246176,157.1557262,9.863493541
55,-2521,1.324878335,,,27701.23438,27.70123438,157.1479135,9.855680873
56,-2519,1.324878335,,,28150.66434,28.15066434,157.1401009,9.855680873
57,-2517,1.324878335,,,28600.09605,28.60009605,157.1322882,9.855680873
58,-2514,1.324878335,,,29049.5295,29.0495295,157.1244755,9.855680873
59,-2513,1.324878335,,,29498.96469,29.49896469,157.1166629,9.855680873
60,-2510,1.324878335,,,30027.74794,30.02774794,157.1088502,9.847868205
61,-2511,1.324878335,,,30477.18693,30.47718693,157.1010375,9.847868205
62,-2511,1.324878335,,,30926.62766,30.92662766,157.0932249,9.847868205
63,-2511,1.324878335,,,31376.07013,31.37607013,157.0854122,9.847868205
64,-2512,1.559389949,,,31825.51435,31.82551435,157.0775995,9.847868205
65,-2513,1.559389949,,,32274.96031,32.27496031,157.0697869,9.847868205
66,-2507,1.559389949,,,32803.75622,32.80375622,157.0619742,9.840055537
67,-2506,1.559389949,,,33253.20597,33.25320597,157.0541615,9.840055537
68,-2507,1.559389949,,,33702.65747,33.70265747,157.0463489,9.840055537
69,-2510,1.559389949,,,34152.1107,34.1521107,157.0385362,9.840055537
70,-2513,1.559389949,,,34601.56568,34.60156568,157.0307235,9.840055537
71,-2515,1.559389949,,,35051.02239,35.05102239,157.0229108,9.840055537
72,-2509,1.559389949,,,35579.83095,35.57983095,157.0150982,9.832242869
73,-2509,1.559389949,,,36029.29146,36.02929146,157.0072855,9.832242869
74,-2507,1.559389949,,,36478.7537,36.4787537,156.9994728,9.832242869
75,-2510,1.559389949,,,36928.21768,36.92821768,156.9916602,9.832242869
76,-2516,1.574262857,,,37377.6834,37.3776834,156.9838475,9.832242869
77,-2521,1.574262857,,,37827.15086,37.82715086,156.9760348,9.832242869
78,-2526,1.574262857,,,38355.97206,38.35597206,156.9682222,9.824430201
79,-2531,1.574262857,,,38805.44331,38.80544331,156.9604095,9.824430201
80,-2535,1.574262857,,,39254.91629,39.25491629,156.9525968,9.824430201
81,-2535,1.574262857,,,39704.39101,39.70439101,156.9447842,9.824430201
82,-2537,1.574262857,,,40153.86746,40.15386746,156.9369715,9.824430201
83,-2535,1.651049495,,,40682.69925,40.68269925,156.9291588,9.816617533
84,-2535,1.651049495,,,41132.17948,41.13217948,156.9213462,9.816617533
85,-2535,1.651049495,,,41581.66145,41.58166145,156.9135335,9.816617533
86,-2536,1.651049495,,,42031.14516,42.03114516,156.9057208,9.816617533
