Source_X,Source_Y,Sub 1 Thickness,Destination_Latitude,Destination_Longitude
254937.5,-110442.4,59.509,-1.8801001,163.2994001
254879.3,-109942.9,60.478,-1.8715995,163.2983998
254826.9,-109508.1,60.065,-1.8642000,163.2974998
254774.5,-109079.1,60.772,-1.8568992,163.2966002
254710.3,-108579.7,60.798,-1.8484005,163.2954991
254657.9,-108144.8,60.286,-1.8409993,163.2945994
254605.5,-107715.9,60.055,-1.8337002,163.2937000
254547.3,-107216.4,60.660,-1.8251994,163.2927003
254494.9,-106781.6,61.106,-1.8177998,163.2918008
254442.4,-106352.7,60.540,-1.8105006,163.2909000
254384.2,-105847.3,60.263,-1.8018994,163.2899002
254331.7,-105418.4,59.800,-1.7946002,163.2889996
254279.3,-104989.4,60.010,-1.7872992,163.2881007
254221.0,-104484.1,60.974,-1.7786996,163.2870995
254168.5,-104055.2,60.517,-1.7714004,163.2861991
254104.4,-103555.7,58.785,-1.7628997,163.2851007
254051.9,-103120.9,59.495,-1.7554999,163.2842002
253999.4,-102692.0,59.658,-1.7482006,163.2833001
253941.1,-102192.5,59.779,-1.7396996,163.2822996
253888.6,-101757.7,61.339,-1.7322998,163.2813994
253836.1,-101328.8,61.003,-1.7250004,163.2804994
253777.8,-100829.3,58.981,-1.7164993,163.2794992
253725.3,-100394.5,60.298,-1.7090995,163.2785992
253672.8,-99965.6,59.993,-1.7018000,163.2776995
253614.5,-99460.3,59.698,-1.6932002,163.2766994
253562.0,-99031.4,59.969,-1.6859007,163.2757998
253509.5,-98602.4,58.971,-1.6785995,163.2749003
253445.2,-98097.1,58.441,-1.6699997,163.2737995
253392.7,-97668.2,57.433,-1.6627002,163.2729002
253340.1,-97239.3,58.150,-1.6554006,163.2719993
253281.8,-96734.0,58.177,-1.6468006,163.2709997
253229.3,-96305.0,57.356,-1.6394993,163.2701006
244523.6,-24789.5,52.505,-0.4220995,163.1220001
244464.4,-24290.3,52.233,-0.4136000,163.1209995
244411.2,-23855.7,52.126,-0.4062004,163.1201005
244357.9,-23426.9,51.880,-0.3988995,163.1191999
244292.8,-22927.7,51.927,-0.3903999,163.1181003
244239.5,-22493.1,52.352,-0.3830002,163.1171998
244192.2,-22064.3,52.117,-0.3756993,163.1164004
244127.0,-21565.1,50.187,-0.3671997,163.1152993
244073.8,-21136.4,50.340,-0.3599004,163.1144008
244014.6,-20631.3,49.593,-0.3513002,163.1134007
243961.3,-20202.5,48.549,-0.3439992,163.1125007
243908.0,-19773.8,48.359,-0.3366999,163.1116007
243848.8,-19268.7,48.579,-0.3280997,163.1106009
243795.4,-18840.0,48.299,-0.3208003,163.1096994
243742.1,-18411.2,47.978,-0.3134992,163.1087996
243677.0,-17906.2,47.569,-0.3049007,163.1077008
243623.6,-17477.4,47.155,-0.2975996,163.1067994
243576.3,-17048.7,46.904,-0.2903001,163.1060008
243511.1,-16543.6,46.306,-0.2816998,163.1049006
243457.7,-16114.9,46.532,-0.2744004,163.1039995
243404.4,-15686.1,46.725,-0.2670992,163.1031001
243345.1,-15181.1,45.918,-0.2585005,163.1020994
243291.8,-14752.3,45.760,-0.2511993,163.1012002
243238.4,-14323.6,42.731,-0.2438997,163.1002993
243179.2,-13818.5,45.606,-0.2352993,163.0993005
243125.8,-13389.8,45.323,-0.2279997,163.0983998
243060.6,-12890.6,44.440,-0.2194997,163.0973003
243007.2,-12461.9,43.959,-0.2122001,163.0963997
242959.8,-12027.3,43.803,-0.2047999,163.0956002
242894.5,-11528.1,42.986,-0.1962999,163.0944992
242841.2,-11099.4,42.567,-0.1890002,163.0936005
242787.8,-10664.8,42.418,-0.1816001,163.0927002
